species_code,order,family,scientific_name,common_name,raptor_group
0229,Passeriformes,Fringillidae,Carpodacus purpureus,Purple Finch,N/A
0230,Passeriformes,Fringillidae,Carpodacus purpureus californicus,Purple Finch (californicus subspecies),N/A
0231,Passeriformes,Fringillidae,Carpodacus purpureus purpureus,Purple Finch (purpureus subspecies),N/A
0232,Pelecaniformes,Ardeidae,Casmerodius albus egretta,Great Egret (egretta subspecies),N/A
0233,Charadriiformes,Stercorariidae,Catharacta skua,Great Skua,N/A
0234,Accipitriformes,Cathartidae,Cathartes aura,Turkey Vulture,Vulture
0235,Accipitriformes,Cathartidae,Cathartes aura septentrionalis,Turkey Vulture (septentrionalis subspecies),Vulture
0236,Passeriformes,Turdidae,Catharus bicknelli,Bicknell's Thrush,N/A
0237,Passeriformes,Turdidae,Catharus fuscescens,Veery,N/A
0238,Passeriformes,Turdidae,Catharus guttatus,Hermit Thrush,N/A
0239,Passeriformes,Turdidae,Catharus guttatus auduboni,Hermit Thrush (auduboni subspecies),N/A
0240,Passeriformes,Turdidae,Catharus guttatus faxoni,Hermit Thrush (faxoni subspecies),N/A
0241,Passeriformes,Turdidae,Catharus guttatus guttatus,Hermit Thrush (guttatus subspecies),N/A
0242,Passeriformes,Turdidae,Catharus guttatus polionutus,Hermit Thrush (polionutus subspecies),N/A
0243,Passeriformes,Turdidae,Catharus minimus,Gray-Cheeked Thrush,N/A
0244,Passeriformes,Turdidae,Catharus ustulatus,Swainson's Thrush,N/A
0245,Passeriformes,Turdidae,Catharus ustulatus swainsoni,Swainson's Thrush (swainsoni subspecies),N/A
0246,Passeriformes,Turdidae,Catharus ustulatus ustulatus,Swainson's Thrush (ustulatus subspecies),N/A
0247,Passeriformes,Troglodytidae,Catherpes mexicanus,Canyon Wren,N/A
0248,Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus,Willet,N/A
0249,Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus inornatus,Willet (inornatus subspecies),N/A
0250,Galliformes,Phasianidae,Centrocercus minimus,Gunnison Sage-Grouse,N/A
0251,Galliformes,Phasianidae,Centrocercus urophasianus,Greater Sage-Grouse,N/A
0252,Charadriiformes,Alcidae,Cepphus columba,Pigeon Guillemot,N/A
0253,Charadriiformes,Alcidae,Cepphus grylle,Black Guillemot,N/A
0254,Charadriiformes,Alcidae,Cerorhinca monocerata,Rhinoceros Auklet,N/A
0255,Passeriformes,Certhiidae,Certhia americana,Brown Creeper,N/A
0256,Passeriformes,Certhiidae,Certhia americana montana,Brown Creeper (montana subspecies),N/A
0257,Passeriformes,Certhiidae,Certhia familiaris,Eurasian Treecreeper,N/A
0258,Coraciiformes,Alcedinidae,Ceryle alcyon,Belted Kingfisher,N/A
0259,Coraciiformes,Alcedinidae,Ceryle torquata,Ringed Kingfisher,N/A
0260,Passeriformes,Mohoidae,Chaetoptila angustipluma,Kioea,N/A
0261,Apodiformes,Apodidae,Chaetura pelagica,Chimney Swift,N/A
0262,Apodiformes,Apodidae,Chaetura vauxi,Vaux's Swift,N/A
0263,Passeriformes,Sylviidae,Chamaea fasciata,Wrentit,N/A
0264,Passeriformes,Sylviidae,Chamaea fasciata henshawi,Wrentit (henshawi subspecies),N/A
0265,Charadriiformes,Charadriidae,Charadrius alexandrinus,Snowy Plover,N/A
0266,Charadriiformes,Charadriidae,Charadrius alexandrinus nivosus,Snowy Plover (nivosus subspecies),N/A
0267,Charadriiformes,Charadriidae,Charadrius hiaticula,Common Ringed Plover,N/A
0268,Charadriiformes,Charadriidae,Charadrius melodus,Piping Plover,N/A
0269,Charadriiformes,Charadriidae,Charadrius montanus,Mountain Plover,N/A
0270,Charadriiformes,Charadriidae,Charadrius morinellus,Eurasian Dotterel,N/A
0271,Charadriiformes,Charadriidae,Charadrius semipalmatus,Semipalmated Plover,N/A
0272,Charadriiformes,Charadriidae,Charadrius vociferus,Killdeer,N/A
0273,Charadriiformes,Charadriidae,Charadrius vociferus vociferus,Killdeer (vociferus subspecies),N/A
0274,Charadriiformes,Charadriidae,Charadrius wilsonia,Wilson's Plover,N/A
0275,Passeriformes,Monarchidae,Chasiempis sandwichensis,HawaiʻI ʻElepaio,N/A
0276,Anseriformes,Anatidae,Chen caerulescens,Snow Goose,N/A
0277,Anseriformes,Anatidae,Chen canagica,Emperor Goose,N/A
0278,Anseriformes,Anatidae,Chen rossii,Ross' Goose,N/A
0279,Charadriiformes,Laridae,Chlidonias niger,Black Tern,N/A
0280,Coraciiformes,Alcedinidae,Chloroceryle americana,Green Kingfisher,N/A
0281,Passeriformes,Fringillidae,Chlorodrepanis virens virens,Hawaii Amakihi,N/A
0282,Passeriformes,Fringillidae,Chlorodrepanis virens wilsoni,Maui Amakihi,N/A
0283,Passeriformes,Emberizidae,Chondestes grammacus,Lark Sparrow,N/A
0284,Passeriformes,Emberizidae,Chondestes grammacus grammacus,Lark Sparrow (grammacus subspecies),N/A
0285,Passeriformes,Emberizidae,Chondestes grammacus strigatus,Lark Sparrow (strigatus subspecies),N/A
0286,Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Lesser Nighthawk,N/A
0287,Caprimulgiformes,Caprimulgidae,Chordeiles gundlachii,Antillean Nighthawk,N/A
0288,Caprimulgiformes,Caprimulgidae,Chordeiles minor,Common Nighthawk,N/A
0289,Caprimulgiformes,Caprimulgidae,Chordeiles minor henryi,Common Nighthawk (henryi subspecies),N/A
0290,Caprimulgiformes,Caprimulgidae,Chordeiles minor hesperis,Common Nighthawk (hesperis subspecies),N/A
0291,Caprimulgiformes,Caprimulgidae,Chordeiles minor minor,Common Nighthawk (minor subspecies),N/A
0292,Passeriformes,Cinclidae,Cinclus mexicanus,American Dipper,N/A
