park_code,species_code,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected,raptor_sci_fam,is_raptor
WRST,0112,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0113,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WRST,0133,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0134,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0148,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0149,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0151,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0276,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
WRST,0300,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
WRST,0349,Approved,Present,Native,Common,Breeder,Species of Concern,True,,False
WRST,0350,Approved,Present,Native,Common,Migratory,Least Concern,False,,False
WRST,0523,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WRST,0629,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
