park_code,species_code,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected,raptor_sci_fam,is_raptor
VOYA,0816,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
VOYA,0980,Approved,Present,Native,Common,Breeder,Species of Concern,True,,False
VOYA,0011,Approved,Present,Native,Rare,Vagrant,Species of Concern,True,,False
VOYA,0850,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
VOYA,0851,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
VOYA,0853,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
VOYA,0012,Approved,Present,Native,Uncommon,Resident,Least Concern,False,Strigidae,True
VOYA,0013,Approved,Present,Native,Rare,Resident,Least Concern,False,Strigidae,True
VOYA,0102,Approved,Present,Native,Uncommon,Resident,Species of Concern,True,Strigidae,True
VOYA,0104,Approved,Present,Native,Uncommon,Resident,Species of Concern,True,Strigidae,True
VOYA,0143,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,Strigidae,True
VOYA,0142,Approved,Present,Native,Uncommon,Resident,Least Concern,False,Strigidae,True
VOYA,1027,Approved,Present,Native,Uncommon,Resident,Least Concern,False,Strigidae,True
VOYA,1034,Approved,Present,Native,Common,Resident,Least Concern,False,Strigidae,True
VOYA,1045,Approved,Present,Native,Rare,Migratory,Least Concern,False,Strigidae,True
VOYA,0775,Approved,Present,Native,Common,Resident,Species of Concern,True,,False
WICA,0001,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,Accipitridae,True
WICA,0002,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,Accipitridae,True
WICA,0005,Approved,Present,Native,Rare,Resident,Species of Concern,True,Accipitridae,True
WICA,0089,Approved,Present,Native,Uncommon,Breeder,Species of Concern,True,Accipitridae,True
WICA,0156,Approved,Present,Native,Common,Breeder,Least Concern,False,Accipitridae,True
WICA,0161,Approved,Present,Native,Common,Resident,Species of Concern,True,Accipitridae,True
WICA,0167,Approved,Present,Native,Occasional,Unknown,Least Concern,False,Accipitridae,True
WICA,0169,Approved,Present,Native,Occasional,Migratory,Least Concern,False,Accipitridae,True
WICA,0294,Approved,Present,Native,Uncommon,Resident,Species of Concern,True,Accipitridae,True
WICA,0295,In Review,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False,Accipitridae,True
WICA,0508,Approved,Present,Native,Common,Resident,In Recovery,True,Accipitridae,True
WICA,0234,Approved,Present,Native,Rare,Breeder,Species of Concern,True,Cathartidae,True
WICA,0724,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,Pandionidae,True
WICA,0030,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0052,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0053,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0055,Approved,Present,Native,Uncommon,Resident,Least Concern,False,,False
WICA,0056,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0058,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0059,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0062,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0067,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0108,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,,False
WICA,0109,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0110,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0113,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,,False
WICA,0134,Approved,Present,Native,Uncommon,Migratory,Least Concern,False,,False
WICA,0148,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0149,In Review,Present,Native,Uncommon,Unknown,Least Concern,False,,False
WICA,0276,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0278,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0648,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,,False
WICA,0719,Approved,Not Confirmed,Native,Unknown,Unknown,Least Concern,False,,False
WICA,0014,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0093,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0947,Approved,Present,Native,Rare,Migratory,Least Concern,False,,False
WICA,0949,Approved,Present,Native,Rare,Migratory,Species of Concern,True,,False
WICA,1001,Approved,Not Confirmed,Native,Unknown,Unknown,Species of Concern,True,,False
WICA,0288,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0784,Approved,Present,Native,Common,Breeder,Least Concern,False,,False
WICA,0271,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
WICA,0272,Approved,Present,Native,Uncommon,Breeder,Least Concern,False,,False
WICA,0279,Approved,Present,Native,Occasional,Migratory,Species of Concern,True,,False
WICA,0571,Approved,Present,Native,Occasional,Migratory,Least Concern,False,,False
