,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
92,ACAD-1092,ACAD,Acadia,Anseriformes,Anatidae,Cygnus columbianus,"Tundra Swan, Whistling Swan",Approved,Not Confirmed,Unknown,Unknown,Vagrant,Least Concern,False
93,ACAD-1093,ACAD,Acadia,Anseriformes,Anatidae,Histrionicus histrionicus,"Eastern Harlequin Duck, Harlequin Duck",Approved,Present,Native,Common,Resident,Least Concern,False
95,ACAD-1095,ACAD,Acadia,Anseriformes,Anatidae,Melanitta fusca,"Eastern White-Winged Scoter, White-Winged Coot, White-Winged Scoter",Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False
96,ACAD-1096,ACAD,Acadia,Anseriformes,Anatidae,Melanitta nigra,"American Common Scoter, American Scoter, Black Scoter, Butter-Bill, Common Scoter",Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False
98,ACAD-1098,ACAD,Acadia,Anseriformes,Anatidae,Mergus merganser,"American Merganser, Common Merganser",Approved,Present,Native,Uncommon,Breeder,Least Concern,False
99,ACAD-1099,ACAD,Acadia,Anseriformes,Anatidae,Mergus serrator,Red-Breasted Merganser,Approved,Present,Native,Common,Breeder,Least Concern,False
100,ACAD-1100,ACAD,Acadia,Anseriformes,Anatidae,Oxyura jamaicensis,"Northern Ruddy Duck, Ruddy Duck",Approved,Not Confirmed,Unknown,Unknown,Migratory,Least Concern,False
101,ACAD-1101,ACAD,Acadia,Anseriformes,Anatidae,Somateria mollissima,"American Eider, Common Eider, Eider Duck, Northern Eider",Approved,Present,Native,Abundant,Resident,Least Concern,False
104,ACAD-1104,ACAD,Acadia,Apodiformes,Trochilidae,Archilochus colubris,Ruby-Throated Hummingbird,Approved,Present,Native,Common,Unknown,Least Concern,False
107,ACAD-1107,ACAD,Acadia,Caprimulgiformes,Caprimulgidae,Caprimulgus vociferus,"Eastern Whip-Poor-Will, Whip-Poor-Will",Approved,Present,Native,Common,Breeder,Least Concern,False
108,ACAD-1108,ACAD,Acadia,Caprimulgiformes,Caprimulgidae,Chordeiles minor,"Common Nighthawk, Eastern Nighthawk",Approved,Present,Native,Common,Breeder,Least Concern,False
110,ACAD-1110,ACAD,Acadia,Charadriiformes,Alcidae,Alle alle,"Common Dovekie, Dovekie",Approved,Not Confirmed,Unknown,Unknown,Unknown,Least Concern,False
